?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0004769>	"orbital pseudotumor"	"A nonspecific tumor-like inflammatory lesion in the orbit of the eye. It is usually composed of mature lymphocytes; plasma cells; macrophages; leukocytes with varying degrees of fibrosis. Orbital pseudotumors are often associated with inflammation of the extraocular muscles (orbital myositis) or inflammation of the lacrimal glands (dacryoadenitis)."	""	
<http://purl.obolibrary.org/obo/MONDO_0004770>	"exophthalmos"	"The anterior displacement of the eye within the orbit, giving a bulging appearance."	""	
<http://purl.obolibrary.org/obo/MONDO_0004771>	"obsolete Fuchs' heterochromic uveitis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016989>	"Fuchs heterochromic iridocyclitis"	"Fuchs heterochromic iridocyclitis (FHI) is an ocular disease of unknown etiology occurring in a very small percentage (0.5-6.2%) of uvietis cases, characterized by diffuse iris heterochromia or atrophy, keratic precipitates in the absence of synechiae, and in some cases evolving to glaucoma and vitreous opacities."	""	
<http://purl.obolibrary.org/obo/MONDO_0004772>	"glaucomatocyclitic crisis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004773>	"iridocyclitis"	"An inflammation of the iris and the ciliary body"	""	
<http://purl.obolibrary.org/obo/MONDO_0006651>	"anterior uveitis"	"Inflammation of the iris and anterior chamber of the eye."	""	
<http://purl.obolibrary.org/obo/MONDO_0006814>	"iritis"	"Inflammation of the iris."	""	
<http://purl.obolibrary.org/obo/MONDO_0004774>	"gonococcal iridocyclitis"	"An iridocyclitis (disease) caused by infection with Neisseria gonorrhoeae."	""	
<http://purl.obolibrary.org/obo/MONDO_0004853>	"gonococcal endophthalmia"		""	
<http://purl.obolibrary.org/obo/MONDO_0004775>	"lens-induced iridocyclitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004776>	"obsolete infectious anterior uveitis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004778>	"epididymo-orchitis"	"A disorder involving inflammation of the epididymis and testes."	""	
<http://purl.obolibrary.org/obo/MONDO_0004780>	"strictly posterior acute myocardial infarction"		""	
<http://purl.obolibrary.org/obo/MONDO_0004782>	"diabetes insipidus"	"A disorder characterized by excretion of large amounts of urine, accompanied by excessive thirst. Causes include deficiency of antidiuretic hormone or failure of the kidneys to respond to antidiuretic hormone. It may also be drug-related."	""	
<http://purl.obolibrary.org/obo/MONDO_0004783>	"obsolete panhypopituitarism"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019591>	"panhypopituitarism"	"Insufficient production of all the anterior pituitary hormones."	""	
<http://purl.obolibrary.org/obo/MONDO_0004786>	"chronic cholangitis"	"Cholangitis that is persistent and long-standing."	""	
<http://purl.obolibrary.org/obo/MONDO_0004787>	"cervical mullerian papilloma"	"A rare, benign, papillary neoplasm that arises from the cervix. It is characterized by the presence of a fibrovascular core covered by mucinous epithelial cells."	""	
<http://purl.obolibrary.org/obo/MONDO_0004788>	"cervix squamous papilloma"	"A papilloma that arises from the squamous epithelium of the cervix."	""	
<http://purl.obolibrary.org/obo/MONDO_0006322>	"non-neoplastic bile duct disorder"	"A non-neoplastic disorder that affects the intrahepatic or extrahepatic bile ducts. Representative examples include cholangitis and biliary atresia."	""	
<http://purl.obolibrary.org/obo/MONDO_0004790>	"fatty liver disease"	"A reversible condition wherein large vacuoles of triglyceride fat accumulate in liver cells via the process of steatosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004791>	"obsolete lipid storage disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004792>	"cancer of isthmus of fallopian tube"	"A cancer that involves the UBERON:0016632."	""	
<http://purl.obolibrary.org/obo/MONDO_0004793>	"obsolete uterine corpus cancer"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004794>	"exposure keratitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0024891>	"non-infectious meningitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004798>	"obsolete Sheehan syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019618>	"Sheehan syndrome"	"An uncommon cause of hypopituitarism seen after severe postpartum hemorrhaging. Prolonged hypovolemia leads to ischemic necrosis of the pituitary. Clinical signs typically present in the puerperium and include failure to begin lactation, fatigue, hypotension and eventual amenorrhea. Clinical course is usually mild, however extreme cases may progress to adrenal failure. Prognosis is most favorable when hormone replacement is initiated soon after symptom onset."	""	
<http://purl.obolibrary.org/obo/MONDO_0004799>	"ulcerative blepharitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004800>	"chronic dacryoadenitis"	"Chronic form of dacryoadenitis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004801>	"unilateral hypoactive labyrinth"		""	
<http://purl.obolibrary.org/obo/MONDO_0004802>	"pulmonary eosinophilia"	"A condition characterized by infiltration of the lung with eosinophils due to inflammation or other disease processes. Major eosinophilic lung diseases are the eosinophilic pneumonias caused by infections, allergens, or toxic agents."	""	
<http://purl.obolibrary.org/obo/MONDO_0015691>	"hypereosinophilic syndrome"	"Hypereosinophilic syndrome (HES) constitutes a rare and heterogeneous group of disorders, defined as persistent and marked blood eosinophilia and/or tissue eosinophilia associated with a wide range of clinical manifestations reflecting eosinophil-induced tissue/organ damage."	""	
<http://purl.obolibrary.org/obo/MONDO_0004803>	"disseminated eosinophilic collagen disease"		""	
<http://purl.obolibrary.org/obo/MONDO_0004806>	"chronic eosinophilic pneumonia"	"Chronic inflammatory disorder of the lungs characterized by the presence of eosinophils in the interalveolar septa and alveolar spaces and peripheral blood eosinophilia. Chest x-rays reveal peripheral infiltrates. Approximately half of the patients have history of asthma or atopic disease. Signs and symptoms include fever, dyspnea, cough, and weight loss. Following treatment with corticosteroids, the eosinophilic infiltrates in the lungs disappear, resulting in dramatic clinical improvement."	""	
<http://purl.obolibrary.org/obo/MONDO_0005749>	"eosinophilic pneumonia"	"An inflammatory lung disorder characterized by an increased number of eosinophils in the lungs. The majority of cases are idiopathic, without identifiable cause. In a minority of cases, medications, fungal infections, and environmental triggers have been implicated. It manifests as acute or chronic. Acute eosinophilic pneumonia is a severe and rapidly progressing pneumonia that may lead to respiratory failure requiring mechanical ventilation. Chronic eosinophilic pneumonia follows a slower course and manifests as fever, dyspnea, cough, and weight loss."	""	
<http://purl.obolibrary.org/obo/MONDO_0004807>	"obsolete Loeffler syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019122>	"idiopathic acute eosinophilic pneumonia"	"Idiopathic acute eosinophilic pneumonia (IAEP) is an eosinophilic pneumonia of undetermined etiology that is characterized by acute febrile hypoxic respiratory failure associated with diffuse radiographic infiltrates and pulmonary eosinophilia, but without concurring allergy or infection."	""	
<http://purl.obolibrary.org/obo/MONDO_0004808>	"benign mammary dysplasia"		""	
<http://purl.obolibrary.org/obo/MONDO_0004809>	"obsolete cannabis abuse"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0005689>	"cannabis dependence"	"Physical and psychological dependence on the drug cannabis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004810>	"acute ethmoiditis"	"Acute form of ethmoid sinusitis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004811>	"simple chronic conjunctivitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004812>	"acute dacryoadenitis"	"Acute form of dacryoadenitis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004813>	"tuberculous pneumothorax"	"A pneumothorax caused by tuberculosis infection, typically resulting from rupture of a cavitary tuberculous lesion into the pleural space."	""	
<http://purl.obolibrary.org/obo/MONDO_0005922>	"pleural tuberculosis"	"Inflammation of the pleura secondary to an infection with Mycobacterium tuberculosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004814>	"obsolete vascular skin disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019293>	"skin vascular disease"	"A disease that involves the superficial vasculature."	""	
<http://purl.obolibrary.org/obo/MONDO_0004815>	"osteosclerotic plasma cell myeloma"	"A plasma cell neoplasm associated with osteosclerotic and fibrotic changes in the bone trabeculae. Often, the lymph nodes show changes resembling the plasma cell variant of Castleman disease. It is often part of POEMS syndrome which is characterized by polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes."	""	
<http://purl.obolibrary.org/obo/MONDO_0009693>	"plasma cell myeloma"	"A bone marrow-based plasma cell neoplasm characterized by a serum monoclonal protein and skeletal destruction with osteolytic lesions, pathological fractures, bone pain, hypercalcemia, and anemia. Clinical variants include non-secretory myeloma, smoldering myeloma, indolent myeloma, and plasma cell leukemia. (WHO, 2001)"	""	
<http://purl.obolibrary.org/obo/MONDO_0004816>	"refractory plasma cell neoplasm"	"A plasma cell neoplasm that is resistant to treatment."	""	
<http://purl.obolibrary.org/obo/MONDO_0004817>	"non-secretory plasma cell myeloma"	"A rare type of multiple myeloma in which the plasma cells synthesize but do not secrete immunoglobulins. As a result, none of the immunoglobulins appear out of the normal range. The symptoms are generally the same with those of immunoglobulin-secreting myeloma; however, the incidence of renal insufficiency is lower in non-secretory myeloma. The diagnosis can be missed because of the absence of monoclonal immunoglobulin in the serum or urine."	""	
<http://purl.obolibrary.org/obo/MONDO_0004818>	"obsolete benign neurilemmoma"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004819>	"indolent plasma cell myeloma"		""	
<http://purl.obolibrary.org/obo/MONDO_0005235>	"smoldering plasma cell myeloma"	"A plasma cell myeloma lacking clinical manifestations and organ impairment."	""	
<http://purl.obolibrary.org/obo/MONDO_0004822>	"bronchiectasis"	"Segmental, irreversible dilation of the bronchial tree resulting in the accumulation of secretions which leads to obstruction. The most common cause is bacterial infection."	""	
<http://purl.obolibrary.org/obo/MONDO_0005002>	"chronic obstructive pulmonary disease"	"A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema."	""	
<http://purl.obolibrary.org/obo/MONDO_0004823>	"obsolete dextrocardia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015661>	"dextrocardia"	"A rare congenital abnormality in which the heart is located in the right side of the chest. It is associated with other congenital heart defects."	""	
<http://purl.obolibrary.org/obo/MONDO_0004824>	"neonatal candidiasis"	"A fungal infection by any of the Candida species in a newborn infant up to 28 days old."	""	
<http://purl.obolibrary.org/obo/MONDO_0004825>	"obsolete encephalitis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004826>	"urethral calculus"	"A concretion in the urethra."	""	
<http://purl.obolibrary.org/obo/MONDO_0024647>	"urolithiasis"	"Stone(s) within the urinary tract."	""	
<http://purl.obolibrary.org/obo/MONDO_0004827>	"esophagus squamous cell papilloma"	"A rare neoplasm arising from the distal third of the esophagus. Morphologically, it is characterized by the presence of fibrovascular cores covered by mature stratified squamous epithelium. Progression to squamous cell carcinoma is extremely rare."	""	
